id,post,label,target
1179063826874032128_twitter,we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,0,None
1178793830532956161_twitter,nawt yall niggers ignoring me,0,African
1179088797964763136_twitter,<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔,1,Asian
24198545_gab,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,1,African
14567516_gab,nogs jews and dykes how enriching,1,African
19679648_gab,guilty until proven innocent unless you are a jew a nigger or a lover of both,1,African
23844035_gab,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,1,Islam
1089312238102609921_twitter,tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,0,None
1159278048069464065_twitter,<percent> cotton thigh highs to avoid contact with any gay chemicals,0,None
1170440965888335874_twitter,oomf a <number> yearl old closet gay and obsessed with me someone help,0,None
1122734457230774272_twitter,fellas be careful she texting other niggas,0,None
1084835380619300864_twitter,italian niggas call they dick the poozingi,0,None
1178905338386567168_twitter,<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama,0,None
18696652_gab,<user> condoning drug use not kike at all thanks for that disclosure,1,Jewish
1178692320201527307_twitter,<user> <user> people act as if you can not say the same about the states obviously not all americans are pro guns not all americans support their government treatment of immigrants and foreigners but when it comes to israel suddenly the logic changes,0,None
1178177759971086336_twitter,anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia,0,None
15544666_gab,lol what a stupid kike,1,Jewish
14104384_gab,why does anyone care what the albino nigger has to say,1,Caucasian
12533510_gab,this sounds like a kike national socialist,1,Jewish
19897606_gab,i saw a couple baums and steins in the victim list but that about it ya got more info i thought the school was half spic though,1,Hispanic
14580398_gab,only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes,0,None
18853541_gab,a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,1,African
1160287365384101888_twitter,anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,1,Homosexual
1105268381341675520_twitter,if we could teach a giraffe to paint that would be one handy sumbitch,0,None
1165747950733135872_twitter,she wanna meet carti that bitch is a barbie 🦋,0,None
1163507718436601857_twitter,smiling cuz i am young black rich and i am handsome,0,None
1170428282313068550_twitter,bitches be so fine and got the nerve to like niggas 😒,1,African
1178728588390096897_twitter,<user> <user> yeah but as people who fall outside of society standard sexual norms maybe theres a reason a lot of queer trans ppl like to talk a bit more openly about their sexuality in certain spaces where they feel safe to do so,0,None
1178422013238620162_twitter,play one game of overwatch after a month away very first game instantly has two players calling people faggots and to kill yourself oh boy i gotta just not play this game at all anymore,0,None
1178988537066262528_twitter,<user> the irony is they are the ones whose mothers were raped by m invaders,0,None
